 #Air Temperature Distribution
 #Number of hourly occurences
 #Temperatures degree Celsius top row (-30 to -25...-25 to -20,...
Month/Year,-30,-25,-20,-15,-10, -5,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45
9/1987,  0,  0,  0,  0,  0,  0,  0,  2, 40,154,264,204, 56,  0,  0,  0
10/1987,  0,  0,  0,  0,  0,  9, 84,149,245,155, 77, 25,  0,  0,  0,  0
11/1987,  0,  0,  0,  0,  0, 47, 97,188,224,121, 30, 13,  0,  0,  0,  0
12/1987,  0,  0,  0,  0,  0, 73,259,244,134, 34,  0,  0,  0,  0,  0,  0
1/1988,  0,  0,  2, 34,115,259,187, 62, 65, 20,  0,  0,  0,  0,  0,  0
2/1988,  0,  0,  0,  2, 58,129,257,165, 64, 21,  0,  0,  0,  0,  0,  0
3/1988,  0,  0,  0,  0,  0, 50,156,218,174,117, 29,  0,  0,  0,  0,  0
4/1988,  0,  0,  0,  0,  0,  0, 15,160,210,202,111, 22,  0,  0,  0,  0
5/1988,  0,  0,  0,  0,  0,  0,  0, 23,113,238,218,145,  7,  0,  0,  0
6/1988,  0,  0,  0,  0,  0,  0,  0,  2, 38, 93,216,198,170,  3,  0,  0
7/1988,  0,  0,  0,  0,  0,  0,  0,  0,  0, 16,245,347,136,  0,  0,  0
8/1988,  0,  0,  0,  0,  0,  0,  0,  0, 15, 17,132,314,251, 15,  0,  0
9/1988,  0,  0,  0,  0,  0,  0,  0,  9, 38,104,303,194, 72,  0,  0,  0
10/1988,  0,  0,  0,  0,  0,  0, 43,172,247,187, 84, 11,  0,  0,  0,  0
11/1988,  0,  0,  0,  0,  0, 31,134,223,155,125, 45,  7,  0,  0,  0,  0
12/1988,  0,  0,  0,  0,  0,193,278,148, 92, 33,  0,  0,  0,  0,  0,  0
1/1989,  0,  0,  0,  0,  0, 81,277,236,123, 21,  6,  0,  0,  0,  0,  0
2/1989,  0,  0,  0,  0, 59,189,174,136, 76, 36,  2,  0,  0,  0,  0,  0
3/1989,  0,  0,  0,  0,  0,104,101,178,149,149, 63,  0,  0,  0,  0,  0
4/1989,  0,  0,  0,  0,  0,  9, 66,147,158,171,104, 65,  0,  0,  0,  0
5/1989,  0,  0,  0,  0,  0,  0,  0, 45,163,186,207,116, 27,  0,  0,  0
6/1989,  0,  0,  0,  0,  0,  0,  0,  0,  6, 90,336,261, 27,  0,  0,  0
7/1989,  0,  0,  0,  0,  0,  0,  0,  0,  2, 28,324,342, 48,  0,  0,  0
8/1989,  0,  0,  0,  0,  0,  0,  0,  0, 10, 72,271,321, 70,  0,  0,  0
9/1989,  0,  0,  0,  0,  0,  0, 10, 21, 75,245,229,126, 14,  0,  0,  0
10/1989,  0,  0,  0,  0,  0,  5, 45,102,202,220,137, 33,  0,  0,  0,  0
11/1989,  0,  0,  0,  0,  0, 60,154,183,131,132, 60,  0,  0,  0,  0,  0
12/1989,  0,  0, 43, 39,119,283,147, 87, 21,  5,  0,  0,  0,  0,  0,  0
1/1990,  0,  0,  0,  0,  0, 97,229,233,161, 24,  0,  0,  0,  0,  0,  0
2/1990,  0,  0,  0,  0,  0, 58,140,189,211, 67,  7,  0,  0,  0,  0,  0
3/1990,  0,  0,  0,  0,  0, 15,174,165,172,157, 61,  0,  0,  0,  0,  0
4/1990,  0,  0,  0,  0,  0,  5, 53,147,169,185,121, 40,  0,  0,  0,  0
5/1990,  0,  0,  0,  0,  0,  0,  0, 15,142,242,256, 88,  1,  0,  0,  0
6/1990,  0,  0,  0,  0,  0,  0,  0,  0,  6, 82,197,290,145,  0,  0,  0
7/1990,  0,  0,  0,  0,  0,  0,  0,  0,  0, 44,250,305,145,  0,  0,  0
8/1990,  0,  0,  0,  0,  0,  0,  0,  0,  9, 51,268,262,137, 17,  0,  0
9/1990,  0,  0,  0,  0,  0,  0,  0, 13, 62, 76,234,232, 74, 29,  0,  0
10/1990,  0,  0,  0,  0,  0,  0, 54,166,193,157,125, 49,  0,  0,  0,  0
11/1990,  0,  0,  0,  0,  0, 10, 87,207,192,148, 72,  4,  0,  0,  0,  0
12/1990,  0,  0,  0,  0, 37,178,117,182,183, 46,  1,  0,  0,  0,  0,  0
1/1991,  0,  0,  0,  0,  0,156,313,239, 36,  0,  0,  0,  0,  0,  0,  0
2/1991,  0,  0,  0,  0,  1, 85,182,197,163, 43,  1,  0,  0,  0,  0,  0
3/1991,  0,  0,  0,  0,  0, 20,117,215,189,146, 50,  7,  0,  0,  0,  0
4/1991,  0,  0,  0,  0,  0,  0,  7, 50,187,276,189, 11,  0,  0,  0,  0
5/1991,  0,  0,  0,  0,  0,  0,  0, 14, 51,106,359,208,  6,  0,  0,  0
6/1991,  0,  0,  0,  0,  0,  0,  0,  0,  0, 31,287,364, 38,  0,  0,  0
7/1991,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9,224,356,155,  0,  0,  0
8/1991,  0,  0,  0,  0,  0,  0,  0,  0,  8, 80,250,318, 88,  0,  0,  0
9/1991,  0,  0,  0,  0,  0,  0, 14, 35, 87,103,241,211, 29,  0,  0,  0
10/1991,  0,  0,  0,  0,  0,  0, 28, 96,159,193,189, 77,  2,  0,  0,  0
11/1991,  0,  0,  0,  0,  3,112,164,158,144,122, 17,  0,  0,  0,  0,  0
12/1991,  0,  0,  0,  0,  0,103,235,237,127, 38,  4,  0,  0,  0,  0,  0
1/1992,  0,  0,  0,  0, 14,170,245,262, 53,  0,  0,  0,  0,  0,  0,  0
2/1992,  0,  0,  0,  0,  0, 50,157,260,171, 58,  0,  0,  0,  0,  0,  0
3/1992,  0,  0,  0,  0,  0, 24,152,178,223,134, 33,  0,  0,  0,  0,  0
4/1992,  0,  0,  0,  0,  0,  0, 44,145,150,212,131, 38,  0,  0,  0,  0
5/1992,  0,  0,  0,  0,  0,  0, 10, 36,158,157,236,147,  0,  0,  0,  0
6/1992,  0,  0,  0,  0,  0,  0,  0,  5, 19,107,304,227, 58,  0,  0,  0
7/1992,  0,  0,  0,  0,  0,  0,  0,  0,  0, 11,269,351,113,  0,  0,  0
8/1992,  0,  0,  0,  0,  0,  0,  0,  0, 31, 96,342,252, 23,  0,  0,  0
9/1992,  0,  0,  0,  0,  0,  0,  7, 38, 62,146,278,173, 16,  0,  0,  0
10/1992,  0,  0,  0,  0,  0,  0, 19,102,230,207,154, 32,  0,  0,  0,  0
11/1992,  0,  0,  0,  0,  0, 16,179,233,164,119,  9,  0,  0,  0,  0,  0
12/1992,  0,  0,  0,  0,  0,139,237,213,129, 23,  3,  0,  0,  0,  0,  0
1/1993,  0,  0,  0,  0,  0,142,331,180, 78, 13,  0,  0,  0,  0,  0,  0
2/1993,  0,  0,  0,  0, 11,170,232,158, 86, 14,  1,  0,  0,  0,  0,  0
3/1993,  0,  0,  0,  0,  3, 56,151,235,184, 87, 28,  0,  0,  0,  0,  0
4/1993,  0,  0,  0,  0,  0,  1, 46,188,231,187, 67,  0,  0,  0,  0,  0
5/1993,  0,  0,  0,  0,  0,  0,  0, 12, 94,274,255,109,  0,  0,  0,  0
6/1993,  0,  0,  0,  0,  0,  0,  0,  0, 17, 46,290,275, 92,  0,  0,  0
7/1993,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,200,294,250,  0,  0,  0
8/1993,  0,  0,  0,  0,  0,  0,  0,  0,  0, 16,219,288,216,  5,  0,  0
9/1993,  0,  0,  0,  0,  0,  0,  0, 27, 83,148,232,195, 35,  0,  0,  0
10/1993,  0,  0,  0,  0,  0,  0, 73,103,163,221,143, 41,  0,  0,  0,  0
11/1993,  0,  0,  0,  0,  0, 72,165,211,180, 71, 21,  0,  0,  0,  0,  0
12/1993,  0,  0,  0,  0,  0,144,264,213, 87, 36,  0,  0,  0,  0,  0,  0
1/1994,  0,  0,  0, 13, 70,216,283, 86, 55, 21,  0,  0,  0,  0,  0,  0
2/1994,  0,  0,  0,  0,  2,201,143,133,123, 62,  8,  0,  0,  0,  0,  0
3/1994,  0,  0,  0,  0,  0, 21,146,262,159,128, 28,  0,  0,  0,  0,  0
4/1994,  0,  0,  0,  0,  0,  5, 32,110,141,183,182, 67,  0,  0,  0,  0
5/1994,  0,  0,  0,  0,  0,  0,  6, 41,145,193,266, 93,  0,  0,  0,  0
6/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,244,360,111,  0,  0,  0
7/1994,  0,  0,  0,  0,  0,  0,  0,  0,  0, 40,260,387, 57,  0,  0,  0
8/1994,  0,  0,  0,  0,  0,  0,  0,  0,  7, 91,288,294, 64,  0,  0,  0
9/1994,  0,  0,  0,  0,  0,  0,  0,  9,123,213,210,156,  9,  0,  0,  0
10/1994,  0,  0,  0,  0,  0,  1, 27, 73,182,258,159, 44,  0,  0,  0,  0
11/1994,  0,  0,  0,  0,  0, 10, 82,156,223,201, 44,  4,  0,  0,  0,  0
12/1994,  0,  0,  0,  0,  0, 90,171,283,169, 30,  1,  0,  0,  0,  0,  0
1/1995,  0,  0,  0,  0, 15,214,224,146,103, 34,  8,  0,  0,  0,  0,  0
2/1995,  0,  0,  0,  0,  7,163,222,158, 84, 38,  0,  0,  0,  0,  0,  0
3/1995,  0,  0,  0,  0,  0, 70, 98,140,196,157, 71, 12,  0,  0,  0,  0
4/1995,  0,  0,  0,  0,  0,  0, 28,126,202,215,114, 35,  0,  0,  0,  0
5/1995,  0,  0,  0,  0,  0,  0,  0, 15,122,195,244,146, 22,  0,  0,  0
6/1995,  0,  0,  0,  0,  0,  0,  0,  0, 14, 71,291,293, 51,  0,  0,  0
7/1995,  0,  0,  0,  0,  0,  0,  0,  0,  0, 32,205,327,180,  0,  0,  0
8/1995,  0,  0,  0,  0,  0,  0,  0,  0,  0, 29,209,301,202,  3,  0,  0
9/1995,  0,  0,  0,  0,  0,  0, 11, 22, 86,199,216,153, 33,  0,  0,  0
10/1995,  0,  0,  0,  0,  0,  1, 25, 88,192,229,133, 76,  0,  0,  0,  0
11/1995,  0,  0,  0,  0,  0, 83,235,215,105, 71, 11,  0,  0,  0,  0,  0
12/1995,  0,  0,  0,  3, 43,249,181, 97,111, 46, 14,  0,  0,  0,  0,  0
1/1996,  0,  0,  0,  7, 96,231,238,112, 46, 14,  0,  0,  0,  0,  0,  0
2/1996,  0,  0,  6, 59, 30,133,152,114, 98, 60, 43,  1,  0,  0,  0,  0
3/1996,  0,  0,  0,  0, 25,116,152,193,145, 80, 33,  0,  0,  0,  0,  0
4/1996,  0,  0,  0,  0,  0,  4, 88,169,159,177,106, 17,  0,  0,  0,  0
5/1996,  0,  0,  0,  0,  0,  0,  0,  9, 48,181,265,190, 51,  0,  0,  0
6/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0, 85,244,281,110,  0,  0,  0
7/1996,  0,  0,  0,  0,  0,  0,  0,  0,  0, 34,264,335,111,  0,  0,  0
8/1996,  0,  0,  0,  0,  0,  0,  0,  0,  3, 76,285,294, 86,  0,  0,  0
9/1996,  0,  0,  0,  0,  0,  0,  0, 15, 80,183,294,133, 15,  0,  0,  0
10/1996,  0,  0,  0,  0,  0,  0, 20,114,187,236,155, 32,  0,  0,  0,  0
11/1996,  0,  0,  0,  0,  0, 59,203,203,186, 57, 10,  2,  0,  0,  0,  0
12/1996,  0,  0,  0,  0, 14,140,210,149,143, 80,  8,  0,  0,  0,  0,  0
1/1997,  0,  0,  0, 11,115,240,116,120, 80, 54,  8,  0,  0,  0,  0,  0
2/1997,  0,  0,  0,  0,  0, 41,263,161,129, 72,  6,  0,  0,  0,  0,  0
3/1997,  0,  0,  0,  0,  0, 20, 56,182,303,146, 37,  0,  0,  0,  0,  0
4/1997,  0,  0,  0,  0,  0,  1, 58,174,283,165, 36,  3,  0,  0,  0,  0
5/1997,  0,  0,  0,  0,  0,  0,  0, 74,141,229,231, 69,  0,  0,  0,  0
6/1997,  0,  0,  0,  0,  0,  0,  0,  0, 16,109,304,242, 49,  0,  0,  0
7/1997,  0,  0,  0,  0,  0,  0,  0,  0,  0, 28,166,329,219,  2,  0,  0
8/1997,  0,  0,  0,  0,  0,  0,  0,  0,  6,110,253,315, 60,  0,  0,  0
9/1997,  0,  0,  0,  0,  0,  0,  0,  6, 73,174,242,191, 34,  0,  0,  0
10/1997,  0,  0,  0,  0,  0,  0, 41,143,192,175,123, 70,  0,  0,  0,  0
11/1997,  0,  0,  0,  0,  0, 18,173,302,168, 54,  5,  0,  0,  0,  0,  0
12/1997,  0,  0,  0,  0,  0, 96,323,251, 68,  6,  0,  0,  0,  0,  0,  0
1/1998,  0,  0,  0,  0,  0, 78,253,257,123, 33,  0,  0,  0,  0,  0,  0
2/1998,  0,  0,  0,  0,  0, 18,135,313,185, 21,  0,  0,  0,  0,  0,  0
3/1998,  0,  0,  0,  0,  4, 75,143,178,163,121, 47, 13,  0,  0,  0,  0
4/1998,  0,  0,  0,  0,  0,  0,  3,143,218,225,119, 12,  0,  0,  0,  0
5/1998,  0,  0,  0,  0,  0,  0,  0,  0, 49,163,266,195, 70,  1,  0,  0
6/1998,  0,  0,  0,  0,  0,  0,  0,  0, 16, 48,189,245,212, 10,  0,  0
7/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,125,346,249, 24,  0,  0
8/1998,  0,  0,  0,  0,  0,  0,  0,  0,  0, 14,285,256,176, 13,  0,  0
9/1998,  0,  0,  0,  0,  0,  0,  0, 10, 14, 90,219,202,154, 31,  0,  0
10/1998,  0,  0,  0,  0,  0,  0, 11, 45,183,202,203, 91,  9,  0,  0,  0
11/1998,  0,  0,  0,  0,  0,  1, 76,193,207,176, 62,  5,  0,  0,  0,  0
12/1998,  0,  0,  0,  0, 47,152,137,190, 98, 78, 40,  2,  0,  0,  0,  0
1/1999,  0,  0,  0,  0, 70,159,202,145,110, 52,  6,  0,  0,  0,  0,  0
2/1999,  0,  0,  0,  0,  0, 50,192,177,123, 93, 37,  0,  0,  0,  0,  0
3/1999,  0,  0,  0,  0,  0, 40,186,287,202, 29,  0,  0,  0,  0,  0,  0
4/1999,  0,  0,  0,  0,  0,  0, 20, 67,179,223,180, 51,  0,  0,  0,  0
5/1999,  0,  0,  0,  0,  0,  0,  0, 20,112,207,287,118,  0,  0,  0,  0
6/1999,  0,  0,  0,  0,  0,  0,  0,  0, 19, 61,276,285, 79,  0,  0,  0
7/1999,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10,179,328,217, 10,  0,  0
8/1999,  0,  0,  0,  0,  0,  0,  0,  0, 13,105,186,187,203, 50,  0,  0
9/1999,  0,  0,  0,  0,  0,  0,  3, 45, 96,114,160,164,110, 28,  0,  0
10/1999,  0,  0,  0,  0,  0,  9, 42,110,175,203,151, 54,  0,  0,  0,  0
11/1999,  0,  0,  0,  0,  0, 19, 80,204,200,146, 71,  0,  0,  0,  0,  0
12/1999,  0,  0,  0,  0,  0,164,218,195,118, 43,  6,  0,  0,  0,  0,  0
1/2000,  0,  0,  0,  0,  0,284,174,132, 99, 41, 14,  0,  0,  0,  0,  0
2/2000,  0,  0,  0,  0,  0, 83,158,186,143,102, 24,  0,  0,  0,  0,  0
3/2000,  0,  0,  0,  0,  0,  2, 51,224,246,147, 70,  4,  0,  0,  0,  0
4/2000,  0,  0,  0,  0,  0,  3, 27,121,248,210,102,  9,  0,  0,  0,  0
5/2000,  0,  0,  0,  0,  0,  0,  0,  5, 33,201,291,189, 25,  0,  0,  0
6/2000,  0,  0,  0,  0,  0,  0,  0,  0, 28, 55,286,261, 90,  0,  0,  0
7/2000,  0,  0,  0,  0,  0,  0,  0,  0,  5, 45,209,256,211, 18,  0,  0
8/2000,  0,  0,  0,  0,  0,  0,  0,  0,  0, 29,160,182,163,169, 41,  0
9/2000,  0,  0,  0,  0,  0,  0,  0, 35, 69,125,177,174,104, 35,  1,  0
